"","Murder","Assault","UrbanPop","Rape","State","long","lad"
"1",13.2,236,58,21.2,"Alabama",-86.5923922224596,34.7356758024691
"2",10,263,48,44.5,"Alaska",-168.187470829389,53.3308100550838
"3",8.1,294,80,31,"Arizona",-111.615135530525,36.2463773395062
"4",8.8,190,50,19.5,"Arkansas",-92.2404553521374,36.3745018333333
"5",9,276,91,40.6,"California",-120.386475658584,34.034180345679
"6",7.9,204,78,38.7,"Colorado",-105.837605375902,40.1123906851852
"7",3.3,110,77,11.1,"Connecticut",-72.7500704191033,41.7653157407408
"8",5.9,238,72,15.8,"Delaware",-75.5734057276619,39.5919031111111
"9",15.4,335,80,31.9,"Florida",-80.8128505589159,24.8239841227306
"10",17.4,211,60,25.8,"Georgia",-83.4848125832388,34.8044546604938
"11",5.3,46,83,20.2,"Hawaii",-166.171539079549,23.7284171581896
"12",2.6,120,54,14.2,"Idaho",-115.25942158465,46.0109290123457
"13",10.4,249,83,24,"Illinois",-89.4736534897358,42.3841872530864
"14",7.2,113,65,21,"Indiana",-86.1259739940181,41.637323308642
"15",2.2,56,57,11.3,"Iowa",-93.5547624934191,43.3672035185185
"16",6,115,66,18,"Kansas",-98.3303635104984,39.8555297623457
"17",9.7,109,52,16.3,"Kentucky",-84.6841789112593,38.859923462963
"18",15.4,249,66,22.2,"Louisiana",-88.8255873459908,29.8796603709091
"19",2.1,83,51,7.8,"Maine",-70.1578640420269,43.6900192271536
"20",11.3,300,67,27.8,"Maryland",-76.0527088760855,38.1788128833971
"21",4.4,149,85,16.3,"Massachusetts",-71.9165613329627,42.5447558209877
"22",12.1,255,74,35.1,"Michigan",-85.5537117162697,45.6625052222222
"23",2.7,72,66,14.9,"Minnesota",-94.5945829561728,48.7185493950617
"24",16.1,259,44,17.1,"Mississippi",-89.4242207167089,34.6460881388889
"25",9,178,70,28.2,"Missouri",-92.5918042214141,40.403672037037
"26",6,109,53,16.4,"Montana",-109.192907672176,48.4396797777778
"27",4.3,102,62,16.5,"Nebraska",-99.9053783224672,42.2346756358025
"28",12.2,252,81,46,"Nevada",-117.034131681386,39.6569722716049
"29",2.1,57,56,9.5,"New Hampshire",NA,NA
"30",7.4,159,89,18.8,"New Jersey",NA,NA
"31",11.4,285,70,32.1,"New Mexico",NA,NA
"32",11.1,254,86,26.1,"New York",NA,NA
"33",13,337,45,16.1,"North Carolina",NA,NA
"34",0.8,45,44,7.3,"North Dakota",NA,NA
"35",7.3,120,75,21.4,"Ohio",-82.8207385186695,41.6527994699955
"36",6.6,151,68,20,"Oklahoma",-97.5522601607084,36.6829932839506
"37",4.9,159,67,29.3,"Oregon",-121.378793620387,45.3428610617284
"38",6.3,106,72,14.9,"Pennsylvania",-78.0204010573646,41.9217809814815
"39",3.4,174,87,8.3,"Rhode Island",NA,NA
"40",14.4,279,48,22.5,"South Carolina",NA,NA
"41",3.8,86,45,12.8,"South Dakota",NA,NA
"42",13.2,188,59,26.9,"Tennessee",-86.5863271120342,36.4820787993827
"43",12.7,201,80,25.5,"Texas",-97.1996143438316,27.6294930593335
"44",3.2,120,80,22.9,"Utah",-111.260921682652,41.3986721296296
"45",2.2,48,32,11.2,"Vermont",-72.7303999097772,44.5024862469136
"46",8.5,156,63,20.7,"Virginia",-76.0240703187518,37.9466637839506
"47",4,145,73,26.2,"Washington",-123.174473648561,48.6648342044502
"48",5.7,81,39,9.3,"West Virginia",NA,NA
"49",2.6,53,66,10.8,"Wisconsin",-86.9017926206626,45.3700939324083
"50",6.8,161,60,15.6,"Wyoming",-107.365810650813,43.8752936296296
"51",NA,NA,NA,NA,"New-Hampshire",-71.5101267326957,43.6958601450617
"52",NA,NA,NA,NA,"New-Jersey",-74.638104312308,40.9233455308642
"53",NA,NA,NA,NA,"New-Mexico",-105.857244341589,36.5294757469136
"54",NA,NA,NA,NA,"New-York",-73.7699673858154,40.8539188888889
"55",NA,NA,NA,NA,"North-Carolina",-79.6107260441304,36.4464627530864
"56",NA,NA,NA,NA,"North-Dakota",-99.6237594623845,48.6260139475309
"57",NA,NA,NA,NA,"Rhode-Island",-71.3834372851514,41.5234845535524
"58",NA,NA,NA,NA,"South-Carolina",-81.0260661357534,34.888059808642
"59",NA,NA,NA,NA,"South-Dakota",-99.9036100826851,45.6913540185185
"60",NA,NA,NA,NA,"West-Virginia",-80.627783600124,39.5697930246914
